file,line,name,parent,context,author,displayName,effective_author,credit_status
TAEGear\Backpacks\config.cpp,439,tae_jetpack_MSEJT4_LR,tae_jetpack_MSEJT4,CfgVehicles,,House Karr MS-EJT4 LR Jetpack,Kandosii Mod Devs and Edonn,Inherited locally from tae_jetpack_MSEJT4
TAEGear\Backpacks\config.cpp,448,tae_jetpack_Z6,tae_jetpack,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr Z-6 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,467,tae_jetpack_z12,tae_jetpack,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr Z-12 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,486,tae_jetpack_Z4,tae_jetpack,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr Z-4 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,515,tae_modular_pack,tgf_backpacks_modular_pack,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,520,tae_modular_pack_grenadier,tae_modular_pack,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,531,tae_modular_pack_heavy,tae_modular_pack,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,536,tae_modular_pack_marksman,tae_modular_pack,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,547,tae_modular_pack_medic,tae_modular_pack,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,559,tae_modular_pack_female,tgf_backpacks_modular_pack_female,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,564,tae_modular_pack_lr,tgf_backpacks_modular_pack_lr,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,575,tae_modular_pack_lr_female,tgf_backpacks_modular_pack_lr_female,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,586,tae_modular_pack_engi,tgf_backpacks_modular_pack_engi,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,591,tae_modular_pack_engi_female,tgf_backpacks_modular_pack_engi_female,CfgVehicles,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,598,tae_hondo_JT13,tae_jetpack_JT13,CfgVehicles,Kandosii Mod Devs and Edonn,Hondo's JT-13 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,605,tae_hondo_JT13_LR,tae_jetpack_JT13_LR,CfgVehicles,Kandosii Mod Devs and Edonn,Hondo's JT-13 Jetpack LR,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,612,tae_frenk_JT12,tae_jetpack_JT12,CfgVehicles,House Kandosii and Jimothy,Frenk's JT-12 Jetpack,House Kandosii and Jimothy,Explicit
TAEGear\Backpacks\config.cpp,622,tae_jimothy_JT12,tae_jetpack_JT12,CfgVehicles,House Kandosii and Jimothy,Jimothy's JT-12 Jetpack,House Kandosii and Jimothy,Explicit
TAEGear\Backpacks\config.cpp,632,tae_stasik_JT12,tae_jetpack_JT12,CfgVehicles,Kandosii Mod Devs and Edonn,Stasik's JT-12 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,642,tae_stasik_JT12_LR,tae_jetpack_JT12_LR,CfgVehicles,Kandosii Mod Devs and Edonn,Stasik's JT-12 Jetpack LR,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,652,tae_edonn_JT13_LR,tae_jetpack_JT13_LR,CfgVehicles,Kandosii Mod Devs and Edonn,Edonn's JT-13 Jetpack LR,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,659,tae_edonn_JT13,tae_jetpack_JT13,CfgVehicles,Kandosii Mod Devs and Edonn,Edonn's JT-13 Jetpack,Kandosii Mod Devs and Edonn,Explicit
